NODENAME;JOBID;STEPID;USERID;GROUPID;JOBNAME;USER_ACC;ENERGY_TAG;POLICY;POLICY_TH;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;CPU-GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DP_256;DPOPS_512;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC
gcn25;6803982;0;pdereus; ;7B_five_samples;gusr68568; ;monitoring;0.000000;2376000;2194826;2400000;602.874046;0.709490;0.246560;0.822924;0.134462;0.000000;921.873175;108.894608;246.943931;1427610333521;2012164214470;0.008332;32589722083;18819750618;0;1230243683;0;32615784;1816991856;56570899;14;0;1886577592;214.835637;1374285;1215000;93;81;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn25;6803982;1;pdereus; ;7B_five_samples;gusr68568; ;monitoring;0.000000;2377333;2194826;2400000;596.849997;0.720037;0.215916;0.709176;0.135823;0.000000;924.665669;108.776634;246.803189;1411524170786;1960349807183;0.008305;32740524165;18351830323;0;1157872724;0;32882384;1833020048;56538748;6;0;1876421384;217.378063;1390225;1215000;94;83;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn25;6803982;2;pdereus; ;7B_five_samples;gusr68568; ;monitoring;0.000000;2377333;2194828;2400000;592.810962;0.705332;0.210548;0.708631;0.136734;0.000000;926.028128;108.662832;246.818540;1407275357893;1995194861030;0.008577;32864967293;18038510759;0;1209175771;0;34171168;1833459488;56744593;6;0;1951090160;218.331041;1390030;1215000;95;83;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn25;6803982;3;pdereus; ;7B_five_samples;gusr68568; ;monitoring;0.000000;2378666;2194826;2400000;638.846345;0.702588;0.216283;0.679981;0.126960;0.000000;912.163531;108.719881;246.695074;1411143442218;2008494093140;0.007807;32647182519;18472953470;0;1230393603;0;34903024;1828932928;56563016;0;0;1836781568;207.201681;1308876;1215000;88;77;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn25;6803982;4;pdereus; ;7B_five_samples;gusr68568; ;monitoring;0.000000;2380000;2194826;2400000;591.807953;0.682840;0.206528;0.718825;0.136975;0.000000;927.710077;108.850982;246.897554;1406515268534;2059802932832;0.008598;32611008455;18417906855;0;1311194699;0;34076504;1781484192;56666618;6;0;1905054488;219.686064;1395748;1215000;95;83;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn25;6803982;5;pdereus; ;7B_five_samples;gusr68568; ;monitoring;0.000000;2377333;2194826;2400000;1166.772775;0.713687;5.062534;16.763264;0.070019;0.000000;1012.324846;121.730875;256.179449;2757302267174;3863464171823;0.005370;63213827989;35669479330;0;2283503427;0;32648656;1956775536;111382636;6;0;1881193408;219.096160;1402735;1215000;96;84;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn25;6803982;6;pdereus; ;7B_five_samples;gusr68568; ;monitoring;0.000000;2378666;2194823;2400000;1195.689019;0.689862;8.942187;29.926588;0.068368;0.000000;1037.218045;132.359745;265.273740;2760539074419;4001581993812;0.005357;63072360450;35393522842;0;2492299185;0;34263072;1822929344;111453265;14;0;1944153248;213.783481;1370479;1215000;93;82;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn25;6803982;7;pdereus; ;7B_five_samples;gusr68568; ;monitoring;0.000000;2378666;2194823;2400000;1171.760850;0.711680;8.965423;29.793675;0.069750;0.000000;1043.911767;132.370274;265.163387;2771259388576;3893966933952;0.005270;63367764526;35534712966;0;2328397094;0;32963984;1838892400;111230506;6;0;1864025344;217.955550;1402672;1215000;96;84;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn25;6803982;8;pdereus; ;7B_five_samples;gusr68568; ;monitoring;0.000000;2378666;2194823;2400000;1167.784816;0.709537;8.952404;29.868141;0.070000;0.000000;1041.132070;132.437322;265.278299;2764436846413;3896110989830;0.005258;63775161947;35726040220;0;2332878020;0;33707104;1807923280;111244243;6;0;1853957696;217.647738;1398948;1215000;96;84;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn25;6803982;9;pdereus; ;7B_five_samples;gusr68568; ;monitoring;0.000000;2376000;2194823;2400000;1166.762798;0.703266;8.844994;29.860053;0.070074;0.000000;1041.963713;132.439565;265.067016;2770098301071;3938905877225;0.005334;64035283214;35688711389;0;2389074362;0;33961024;1815436944;111222676;6;0;1874178496;218.743097;1398027;1215000;96;84;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
