JOBID;STEPID;NODENAME;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;ITER_TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DPOPS_256;DPOPS_512;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC;LOOPID;LOOP_NEST_LEVEL;LOOP_SIZE;TIMESTAMP;ELAPSED;DATE
6803982;0;gcn25;2394666;2194812;2400000;1.001308;0.595570;0.402875;0.404850;0.000000;0.000000;820.488473;109.008606;245.820257;5992730109;10062182255;0.000052;98860001;55733028;0;28101;0;0;0;491064;0;0;0;48.861273;210000;1215000;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719757576;13;30-06-2024 16:26:16
6803982;0;gcn25;2397333;2194764;2400000;1.002508;2.314523;11.279099;23.760376;0.000000;0.000000;728.166467;127.343529;261.548101;48879689981;21118687535;0.362664;905888634;1232266736;0;254427;0;32614392;1716739936;10911;0;0;1886452328;59.262636;755454;1215000;33;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719757586;23;30-06-2024 16:26:26
6803982;0;gcn25;2381333;2194899;2400000;1.001408;0.691995;0.540424;1.782359;0.000000;0.000000;875.597895;110.044201;247.618338;22854670653;33027209560;0.002368;660117415;451281281;0;17369074;0;0;4177104;2176214;0;0;0;218.952273;1410000;1215000;91;81;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719757596;33;30-06-2024 16:26:36
6803982;0;gcn25;2377333;2194713;2400000;1.002408;0.696978;0.096060;0.324731;0.000000;0.000000;971.946165;108.601871;246.253042;23617974904;33886258520;0.002385;546837769;304243438;0;20508040;0;0;2428624;960546;0;0;0;218.757300;1410000;1215000;97;83;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719757606;43;30-06-2024 16:26:46
6803982;0;gcn25;2393333;2194898;2400000;1.001108;0.698010;0.151274;0.511462;0.000000;0.000000;873.714575;109.205440;246.797568;23626139633;33847864133;0.002332;545448485;303858458;0;20402196;0;0;2013056;961524;0;0;0;238.032545;1410000;1215000;97;89;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719757616;53;30-06-2024 16:26:56
6803982;0;gcn25;2397333;2195025;2400000;1.002408;0.693046;0.114595;0.389302;0.000000;0.000000;1003.370483;108.623072;246.517390;23600895419;34053849102;0.002506;541644395;301273015;0;20993363;0;0;3139120;954509;0;0;0;227.872364;1410000;1215000;97;87;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719757626;63;30-06-2024 16:27:06
6803982;0;gcn25;2384000;2194899;2400000;1.001208;0.715304;0.099275;0.327106;0.000000;0.000000;863.727272;108.817608;246.465916;23597437738;32989390110;0.002155;556365934;308051941;0;18524630;0;0;2073088;977064;0;0;0;217.707818;1410000;1215000;97;85;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719757636;73;30-06-2024 16:27:16
6803982;0;gcn25;2378666;2194712;2400000;1.001208;0.718523;0.137738;0.451992;0.000000;0.000000;912.419523;108.800750;246.557846;23607102260;32855042480;0.002040;559008580;308382691;0;18241648;0;0;1201632;980468;0;0;0;221.016182;1410000;1215000;97;89;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719757646;83;30-06-2024 16:27:26
6803982;0;gcn25;2394666;2194935;2400000;1.001108;0.697039;0.125757;0.425422;0.000000;0.000000;981.292336;108.745787;246.783728;23606135898;33866324882;0.002418;545393321;301566224;0;20679107;0;0;2570448;954517;0;0;0;220.894000;1410000;1215000;97;86;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719757656;93;30-06-2024 16:27:36
6803982;0;gcn25;2374666;2194787;2400000;1.001208;0.695568;0.136346;0.462119;0.000000;0.000000;876.243148;108.860226;246.551890;23603458840;33934091388;0.002284;545189075;301963320;0;20877785;0;0;1038208;951515;0;0;0;217.202417;1410000;1215000;97;85;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719757666;103;30-06-2024 16:27:46
