NODENAME;JOBID;STEPID;USERID;GROUPID;JOBNAME;USER_ACC;ENERGY_TAG;POLICY;POLICY_TH;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;CPU-GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DP_256;DPOPS_512;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC
gcn7;6805089;0;pdereus; ;1_Pruning;gusr68568; ;monitoring;0.000000;2376000;2194825;2400000;464.674060;0.937444;1.963408;4.929541;0.184131;0.000000;725.156437;111.494167;274.082727;1093678568016;1166660392089;0.008121;28842593756;16636207856;0;132539757;0;28373560;1765859088;51566071;0;0;1795126872;159.175365;1359034;1215000;59;43;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn7;6805089;1;pdereus; ;1_Pruning;gusr68568; ;monitoring;0.000000;2377333;2194832;2400000;447.644915;0.924057;1.824412;4.619012;0.191148;0.000000;726.870030;111.264201;277.251141;1047269925075;1133338779381;0.008091;27921484905;16031029307;0;126148300;0;31486784;1675381200;50068620;6;0;1738745016;161.617739;1369281;1215000;60;43;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn7;6805089;2;pdereus; ;1_Pruning;gusr68568; ;monitoring;0.000000;2381333;2194830;2400000;430.587772;0.923785;1.814255;4.625597;0.198683;0.000000;722.664812;111.185591;272.104445;1014149408075;1097820160939;0.008978;27087572130;15604527158;0;128853766;0;34017624;1795962192;48509109;0;0;1858167728;162.488567;1382656;1215000;60;43;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn7;6805089;3;pdereus; ;1_Pruning;gusr68568; ;monitoring;0.000000;2377333;2194824;2400000;414.577623;0.920419;0.748154;1.913871;0.206357;0.000000;711.851916;108.632919;262.815607;976141655863;1060540838520;0.008623;26134943911;15340954077;0;120639842;0;29651488;1668347264;46990205;6;0;1709274360;160.882804;1382193;1215000;60;43;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn7;6805089;4;pdereus; ;1_Pruning;gusr68568; ;monitoring;0.000000;2376000;2194826;2400000;401.820511;0.925143;0.522475;1.328136;0.212890;0.000000;867.460508;108.180359;259.558520;944970536120;1021431701869;0.009269;25388676266;14892934831;0;124594170;0;32591240;1745148352;45123709;6;0;1776808168;161.861338;1375436;1215000;60;43;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn7;6805089;5;pdereus; ;1_Pruning;gusr68568; ;monitoring;0.000000;2376000;2194824;2400000;391.604422;0.915716;0.380640;0.961453;0.218437;0.000000;757.027714;107.786367;259.098173;905779279468;989148497616;0.009202;23994314814;14220346069;0;124041994;0;26281912;1704268880;43521826;6;0;1705233264;161.139746;1349588;1215000;60;43;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn7;6805089;6;pdereus; ;1_Pruning;gusr68568; ;monitoring;0.000000;2376000;2194827;2400000;599.888250;0.718356;0.472466;1.505078;0.143055;0.000000;796.175190;108.086220;259.849330;1372769806241;1910989386191;0.008205;30933851261;18349593881;0;1148070239;0;31814976;1866299280;54664666;6;0;1821238264;208.924516;1331194;1215000;89;79;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn7;6805089;7;pdereus; ;1_Pruning;gusr68568; ;monitoring;0.000000;2377333;2194821;2400000;593.914199;0.724059;0.206591;0.639835;0.144515;0.000000;747.704072;107.021879;257.723691;1331845446284;1839416672714;0.008332;31002018545;17874313594;0;1075908171;0;36521752;1875896256;53305334;6;0;1906602016;203.601392;1317831;1215000;88;78;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn7;6805089;8;pdereus; ;1_Pruning;gusr68568; ;monitoring;0.000000;2378666;2194825;2400000;515.768516;0.705362;0.194180;0.645962;0.166254;0.000000;763.180262;106.959477;257.451955;1210233349684;1715762451968;0.009480;28021311319;16575923251;0;1042816244;0;32420856;1902657600;49043853;14;0;1862303104;212.222005;1372500;1215000;93;82;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn7;6805089;9;pdereus; ;1_Pruning;gusr68568; ;monitoring;0.000000;2377333;2194820;2400000;530.748654;0.705894;0.199076;0.648553;0.161605;0.000000;767.271357;107.043098;256.839386;1220549232276;1729081784564;0.009149;28495428715;16740467977;0;1046893744;0;33985728;1837759152;49575180;14;0;1887599016;210.777330;1347373;1215000;91;79;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
