NODENAME;JOBID;STEPID;USERID;GROUPID;JOBNAME;USER_ACC;ENERGY_TAG;POLICY;POLICY_TH;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;CPU-GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DP_256;DPOPS_512;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC
gcn72;6692194;0;pdereus; ;Quan_3B;gusr68568; ;monitoring;0.000000;2380000;2194834;2400000;1799.606260;0.916011;5.923557;15.279665;0.046964;0.000000;1087.251312;124.739641;290.679877;4252155897954;4642038274486;0.002077;103847132937;48647355186;0;19623597;0;31059488;1795606656;145919060;0;0;1745376568;86.189891;1397450;1215000;25;4;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn72;6692194;1;pdereus; ;Quan_3B;gusr68568; ;monitoring;0.000000;2380000;2194836;2400000;1821.673315;0.929232;5.956423;15.166529;0.046409;0.000000;1087.375238;124.669615;290.412455;4310179757792;4638431946309;0.002037;104778797055;48821325292;0;19669386;0;29577992;1768214080;145818842;6;0;1747058696;85.946905;1402156;1215000;25;4;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn72;6692194;2;pdereus; ;Quan_3B;gusr68568; ;monitoring;0.000000;2378666;2194835;2400000;1812.510287;0.922444;5.613563;14.360401;0.046640;0.000000;1180.463803;123.656482;283.432038;4277091516839;4636694123279;0.002016;106210585016;48477249693;0;19515398;0;31281528;1778604848;145578416;6;0;1678620248;85.675459;1402700;1215000;25;3;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn72;6692194;3;pdereus; ;Quan_3B;gusr68568; ;monitoring;0.000000;2377333;2194834;2400000;1830.695365;0.923414;5.470150;13.863758;0.046189;0.000000;1293.411908;123.273387;277.874452;4284441379738;4639784432923;0.002025;106180463216;48783839705;0;19533527;0;34064880;1723943504;145794195;6;0;1783118192;85.242200;1388414;1215000;24;3;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn72;6692194;4;pdereus; ;Quan_3B;gusr68568; ;monitoring;0.000000;2380000;2194836;2400000;1819.662340;0.929427;5.388692;13.749885;0.046466;0.000000;1293.645109;123.079220;277.749730;4315408590960;4643083335356;0.002080;105794000342;48891888801;0;19356046;0;32136392;1747926080;145664183;6;0;1840537104;85.662930;1404393;1215000;25;4;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn72;6692194;5;pdereus; ;Quan_3B;gusr68568; ;monitoring;0.000000;2378666;2194835;2400000;6817.127745;1.022267;6.275328;14.455687;0.013100;0.000000;1279.937476;123.704792;278.177682;16053443825939;15703764021489;0.000888;371485684977;321795851643;0;776160840;0;31314856;2961500032;541242456;0;0;1745056952;73.653013;1408461;1215000;23;1;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn72;6692194;6;pdereus; ;Quan_3B;gusr68568; ;monitoring;0.000000;2377333;2194835;2400000;6823.986664;1.029925;8.847710;20.245906;0.013089;0.000000;1281.397759;128.877509;281.707834;16082369261457;15615090627157;0.000868;384661726130;327364603592;0;653970779;0;31132632;2942636864;541265565;6;0;1751703776;73.602137;1408388;1215000;22;1;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn72;6692194;7;pdereus; ;Quan_3B;gusr68568; ;monitoring;0.000000;2381333;2194835;2400000;6769.519394;1.014796;7.459483;17.323282;0.013187;0.000000;1176.191567;126.230896;292.782379;15953570626420;15720966833244;0.000891;370220086835;321442921614;0;767245909;0;31681400;2896273808;541370616;0;0;1794883472;73.691004;1408147;1215000;23;1;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn72;6692194;8;pdereus; ;Quan_3B;gusr68568; ;monitoring;0.000000;2378666;2194835;2400000;6876.538997;1.035269;4.769898;10.857241;0.012998;0.000000;990.769051;119.957747;300.504805;16204417650394;15652375970756;0.000858;381720284596;327167158558;0;712190829;0;30704040;2821111328;541444475;6;0;1796883856;73.559171;1408446;1215000;22;1;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn72;6692194;9;pdereus; ;Quan_3B;gusr68568; ;monitoring;0.000000;2382666;2194835;2400000;6764.276426;1.017679;8.746144;20.225959;0.013199;0.000000;941.796638;127.438029;301.401993;15919331028860;15642776831160;0.000877;379631242290;328234121545;0;685996843;0;31281704;2953744752;541590227;6;0;1720605504;73.640885;1405696;1215000;23;1;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
