JOBID;STEPID;NODENAME;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;ITER_TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DPOPS_256;DPOPS_512;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC;LOOPID;LOOP_NEST_LEVEL;LOOP_SIZE;TIMESTAMP;ELAPSED;DATE
6805079;0;gcn31;2393333;2194949;2400000;1.001107;0.632621;10.511844;6.985086;0.000000;0.000000;928.128654;94.376461;251.420829;4208397826;6652322616;0.000036;65608339;33633965;0;20377;0;0;0;335272;0;0;0;48.624545;210000;1215000;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719773062;12;30-06-2024 20:44:22
6805079;0;gcn31;2394666;2194776;2400000;1.002207;0.809563;17.355303;10.185423;0.000000;0.000000;942.561860;97.966878;253.035546;4761622193;5881718636;0.000027;66821045;52056762;0;103014;0;0;0;170127;0;0;8;61.319091;973636;1215000;4;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719773072;22;30-06-2024 20:44:32
6805079;0;gcn31;2381333;2194867;2400000;1.001207;0.866955;2.927229;7.190257;0.000000;0.000000;977.686932;94.997198;252.728124;21321030396;24593007222;0.000696;697711969;356977464;0;165351;0;0;4552208;2248733;0;0;0;92.240182;1410000;1215000;25;10;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719773082;32;30-06-2024 20:44:42
6805079;0;gcn31;2376000;2194825;2400000;1.001307;0.934777;2.621269;6.598870;0.000000;0.000000;884.242384;94.425381;252.950577;23563153697;25207237579;0.000614;683969228;355813142;0;167426;0;0;5006144;974503;0;0;0;97.347545;1410000;1215000;29;13;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719773092;42;30-06-2024 20:44:52
6805079;0;gcn31;2380000;2194834;2400000;1.001807;0.934880;2.668145;6.718449;0.000000;0.000000;989.207601;94.682879;253.078223;23583022896;25225718742;0.000523;685452766;356048539;0;175474;0;0;4094672;973502;0;0;0;97.394250;1410000;1215000;29;13;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719773102;52;30-06-2024 20:45:02
6805079;0;gcn31;2404000;2194769;2400000;1.001707;0.937533;2.668424;6.700050;0.000000;0.000000;977.840923;94.375714;252.921974;23580344182;25151494072;0.000477;684348909;359146103;0;164717;0;0;3639792;972288;0;0;0;97.992909;1410000;1215000;29;13;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719773112;62;30-06-2024 20:45:12
6805079;0;gcn31;2392000;2194873;2400000;1.001407;0.936103;2.496701;6.272343;0.000000;0.000000;980.456596;93.755126;252.852288;23550368481;25157870064;0.000652;685927345;355347815;0;159921;0;0;5402560;965641;0;0;0;97.645273;1410000;1215000;29;13;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719773122;72;30-06-2024 20:45:22
6805079;0;gcn31;2384000;2194719;2400000;1.001307;0.936714;2.675917;6.725112;0.000000;0.000000;980.569396;94.210455;253.109140;23572253743;25164837823;0.000475;687004724;356930632;0;150660;0;0;3639184;963982;0;0;0;97.497091;1410000;1215000;29;13;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719773132;82;30-06-2024 20:45:32
6805079;0;gcn31;2386666;2194884;2400000;1.001407;0.935663;2.597313;6.534825;0.000000;0.000000;887.856874;93.793926;252.795349;23574341765;25195344358;0.000387;687429765;357387568;0;170317;0;0;2728912;975199;0;0;0;98.000000;1410000;1215000;29;13;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719773142;92;30-06-2024 20:45:42
6805079;0;gcn31;2392000;2194815;2400000;1.001307;0.936764;2.593917;6.520469;0.000000;0.000000;982.226328;93.750396;252.869592;23578706209;25170393410;0.000160;684821804;356872994;0;170937;0;0;454512;977894;0;0;0;98.051455;1410000;1215000;29;13;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719773152;102;30-06-2024 20:45:52
6805079;0;gcn31;2378666;2194998;2400000;1.001307;0.935847;2.715226;6.826801;0.000000;0.000000;983.706394;94.073131;253.027656;23560448534;25175524835;0.000610;686558935;354907136;0;147677;0;0;5004288;960054;0;0;0;97.936333;1410000;1215000;29;13;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719773162;112;30-06-2024 20:46:02
6805079;0;gcn31;2392000;2194809;2400000;1.001207;0.933946;2.592834;6.537620;0.000000;0.000000;981.224760;94.000284;252.803753;23577115000;25244612250;0.000561;684186081;353509913;0;155198;0;0;4492144;970452;0;0;0;97.819727;1410000;1215000;29;13;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719773172;122;30-06-2024 20:46:12
