NODENAME;JOBID;STEPID;USERID;GROUPID;JOBNAME;USER_ACC;ENERGY_TAG;POLICY;POLICY_TH;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;CPU-GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DP_256;DPOPS_512;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC
gcn56;6805096;0;pdereus; ;4_Pruning;gusr68568; ;monitoring;0.000000;2389198;2194825;2400000;470.226028;0.936428;0.213194;0.531922;0.182001;0.000000;494.545715;50.704344;124.945262;1093823093262;1168079804847;0.007663;28639509281;16461615762;0;137566942;0;32481232;1612172064;51363753;0;0;1769439784;158.162191;1349583;1215000;59;42;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn56;6805096;1;pdereus; ;4_Pruning;gusr68568; ;monitoring;0.000000;2390831;2194823;2400000;500.709289;0.911094;0.171941;0.394713;0.171009;0.000000;469.019461;50.903171;122.511323;1042990276068;1144766301215;0.007224;28064583681;16195822272;0;138645876;0;28383352;1737099744;50373805;0;0;1662272184;149.117967;1243602;1215000;54;38;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn56;6805096;2;pdereus; ;4_Pruning;gusr68568; ;monitoring;0.000000;2390841;2194828;2400000;433.644720;0.931012;0.210175;0.533823;0.197321;0.000000;494.224373;52.178361;123.046960;1020629744993;1096258591209;0.008657;27008589821;15554254975;0;129775943;0;30048864;1774438896;48166389;6;0;1771634352;161.712308;1383095;1215000;61;43;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn56;6805096;3;pdereus; ;4_Pruning;gusr68568; ;monitoring;0.000000;2390573;2194822;2400000;416.595576;0.922939;0.189585;0.485243;0.205375;0.000000;493.627566;51.200834;122.989585;979308557587;1061075993077;0.008751;26161506880;14774097680;0;125568548;0;32136464;1685203680;46725666;6;0;1755795080;162.325027;1380058;1215000;61;43;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn56;6805096;4;pdereus; ;4_Pruning;gusr68568; ;monitoring;0.000000;2391177;2194830;2400000;414.662559;0.932267;0.194690;0.480056;0.206363;0.000000;488.932356;52.265559;125.744159;948510054310;1017422955164;0.009218;25286101849;14657144471;0;116085224;0;32999776;1820478416;45115313;6;0;1807450184;158.107592;1339411;1215000;58;42;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn56;6805096;5;pdereus; ;4_Pruning;gusr68568; ;monitoring;0.000000;2391672;2194833;2400000;416.593574;0.924780;0.201925;0.480490;0.205419;0.000000;499.349241;53.328888;128.763163;912263490398;986464912521;0.009001;24467223759;14173357725;0;118163220;0;31850720;1720978464;43699366;6;0;1834850912;153.378141;1300097;1215000;56;40;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn56;6805096;6;pdereus; ;4_Pruning;gusr68568; ;monitoring;0.000000;2391210;2194826;2400000;578.827966;0.722510;0.189474;0.620935;0.148232;0.000000;577.490993;52.447169;127.321914;1365706192345;1890224921806;0.008538;31221198629;17972754459;0;1117539357;0;33297856;1803739504;54441732;6;0;1932913704;211.581665;1375105;1215000;93;81;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn56;6805096;7;pdereus; ;4_Pruning;gusr68568; ;monitoring;0.000000;2390675;2194824;2400000;589.841058;0.708710;0.172961;0.551804;0.145504;0.000000;565.741038;50.691891;122.941914;1329046834522;1875303388600;0.008377;30841406588;17601918766;0;1135801550;0;33136048;1854604384;53278753;6;0;1864413392;205.628442;1328559;1215000;89;78;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn56;6805096;8;pdereus; ;4_Pruning;gusr68568; ;monitoring;0.000000;2390221;2194821;2400000;536.746607;0.720993;0.187994;0.593849;0.159806;0.000000;564.983892;50.731927;123.028710;1217823779010;1689091502068;0.009041;28235704127;16422397736;0;999997108;0;32641064;1887928576;49014688;6;0;1883274096;203.577393;1329634;1215000;89;78;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gcn56;6805096;9;pdereus; ;4_Pruning;gusr68568; ;monitoring;0.000000;2391107;2194828;2400000;520.747472;0.723480;0.246399;0.807821;0.164691;0.000000;574.517134;51.893549;125.371977;1230313420932;1700549449564;0.009364;28389759718;16258167818;0;1001842753;0;31686016;1924236400;49472239;6;0;1868881904;210.314976;1380094;1215000;93;82;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
