JOBID;STEPID;NODENAME;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;ITER_TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DPOPS_256;DPOPS_512;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC;LOOPID;LOOP_NEST_LEVEL;LOOP_SIZE;TIMESTAMP;ELAPSED;DATE
6805096;0;gcn56;2394666;2194653;2400000;1.002809;0.628970;0.341056;0.209681;0.000000;0.000000;298.415816;49.724665;121.306838;3877769816;6165269774;0.000033;60363090;31001806;0;9561;0;0;0;323612;0;0;0;50.283667;210000;1215000;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719773244;12;30-06-2024 20:47:24
6805096;0;gcn56;2377333;2195019;2400000;1.004609;3.191401;9.285227;9.207919;0.000000;0.000000;341.409942;58.569870;132.674047;31794150480;9962444047;0.330193;386761455;367875948;0;4309;0;32441336;1515585936;172032;0;0;1768919528;50.265077;210000;1215000;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719773254;22;30-06-2024 20:47:34
6805096;0;gcn56;2390666;2194637;2400000;1.003309;0.888720;1.736401;4.204237;0.000000;0.000000;465.239056;52.223390;124.129904;21589213807;24292473656;0.000833;782625170;670441872;0;1986496;0;9016;3995424;2313846;0;0;44304;149.517000;1410000;1215000;61;37;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719773264;32;30-06-2024 20:47:44
6805096;0;gcn56;2378666;2194852;2400000;1.002709;0.925702;0.075525;0.192045;0.000000;0.000000;505.643926;49.654824;122.879041;23602542749;25496910229;0.000712;626902614;354605839;0;2601448;0;6952;3300848;1116428;0;0;111760;161.901500;1410000;1215000;65;43;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719773274;42;30-06-2024 20:47:54
6805096;0;gcn56;2397333;2194878;2400000;1.002409;0.932890;0.086835;0.218953;0.000000;0.000000;502.203305;49.702432;122.975378;23579399612;25275647438;0.000575;630355038;355753656;0;2193132;0;2608;2353520;1119487;0;0;93376;160.725615;1410000;1215000;62;45;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719773284;52;30-06-2024 20:48:04
6805096;0;gcn56;2390666;2194866;2400000;1.003009;0.923116;0.075963;0.193746;0.000000;0.000000;462.832875;49.650916;122.830032;23615204406;25582063844;0.000687;626974460;352686010;0;2703817;0;2360;3032560;1117794;0;0;30336;161.827833;1410000;1215000;61;46;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719773294;62;30-06-2024 20:48:14
6805096;0;gcn56;2382666;2194712;2400000;1.002009;0.924652;0.076439;0.194692;0.000000;0.000000;500.980058;49.605681;122.896056;23598369546;25521356873;0.000687;627253159;352797474;0;2714970;0;2688;3023184;1115210;0;0;31920;161.216833;1410000;1215000;62;45;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719773304;72;30-06-2024 20:48:24
6805096;0;gcn56;2384000;2194855;2400000;1.002209;0.924367;0.083721;0.213235;0.000000;0.000000;503.717569;49.714307;122.963689;23595191892;25525776040;0.000754;627251379;353019383;0;2752107;0;1744;3692528;1113882;0;0;560;161.109333;1410000;1215000;65;44;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719773314;82;30-06-2024 20:48:34
6805096;0;gcn56;2398666;2194774;2400000;1.001508;0.935494;0.077885;0.196218;0.000000;0.000000;500.142275;49.747578;123.002640;23603707492;25231265388;0.000483;631664648;354766184;0;2145257;0;1616;1508992;1121565;0;0;63064;160.319636;1410000;1215000;60;46;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719773324;92;30-06-2024 20:48:44
6805096;0;gcn56;2378666;2194945;2400000;1.004509;0.932335;0.075828;0.191530;0.000000;0.000000;499.665086;49.786361;122.909519;23655539408;25372360400;0.000584;631917380;355678292;0;2174632;0;1136;2566272;1123821;0;0;7144;159.381167;1410000;1215000;60;46;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1719773335;102;30-06-2024 20:48:55
